From,To
John Pandolfi,Historical ecology
John Pandolfi,Paleoecology
John Pandolfi,Global change biology
John Pandolfi,Fundamental ecology
Fundamental ecology,Coral larvae & Symbiodinium
Fundamental ecology,Ecological novelty
Paleoecology,Ecological novelty
Paleoecology,Reef sediment cores
Paleoecology,Ancient DNA
Historical ecology,Fishery reconstruction
Historical ecology,Reef reconstruction
Global change biology,Lat range shifts
Global change biology,Coral larvae & Symbiodinium
Ecological novelty,Timothy Staples
Reef sediment cores,Gal Eyal
Lat range shifts,Sun Wook Kim
Coral larvae & Symbiodinium,Eugenia Sampayo
Fishery reconstruction,Carolina Chong-Montenegro
Reef sediment cores,Nick Hammerman
Ancient DNA,Karin Zweip
Coral larvae & Symbiodinium,Nataly Gutierrez Isaza
Coral larvae & Symbiodinium,Carrie Sims
Ecological novelty,Emer Cunningham
Reef sediment cores,Ellen Hall
Reef sediment cores,Hannah Markham
Reef sediment cores,George Roff
Lat range shifts,Brigitte Sommer
Lat range shifts,Maria Beger
Ancient DNA,K-le Gomez
Fishery reconstruction,Ruth Thurston
Fishery reconstruction,Sarah Buckley
Reef reconstruction,Tara Clarke
